gridSize,numBlueAgents,numRedAgents,flagPlacementType,ninsts,nblocks
35,1,5,C,42977562,4853320
35,1,7,A,52319260,5909354
35,1,7,B,13210438,1469863
35,1,7,C,64857023,7355206
35,1,9,A,87874131,9974241
35,1,9,B,21083532,2358256
35,1,9,C,80528706,9147647
35,3,1,A,12087929,1349959
35,3,1,B,4951925,540131
35,3,1,C,21499198,2405743
35,3,3,A,21532437,2413955
35,3,3,B,6621986,724290
35,3,3,C,32378493,3634754
35,3,5,A,38471382,4331387
35,3,5,B,17039941,1900094
35,3,5,C,55091069,6218001
35,3,7,A,60925854,6881166
35,3,7,B,23644751,2635020
35,3,7,C,76037108,8617382
35,3,9,A,96362275,10932897
35,3,9,B,22786861,2546693
35,3,9,C,89669789,10180499
35,5,1,A,26456582,2977086
35,5,1,B,9293103,1034593
35,5,1,C,45423615,5127008
35,5,3,A,35643303,4012432
35,5,3,B,11003826,1223877
35,5,3,C,58878781,6645008
35,5,5,A,52372283,5906218
35,5,5,B,17070760,1908640
35,5,5,C,81100963,9172094
35,5,7,A,75406561,8520341
35,5,7,B,23623928,2640959
35,5,7,C,101100920,11465928
35,5,9,A,110310342,12511661
35,5,9,B,33274386,3729817
35,5,9,C,106366349,12073857
35,7,1,A,49470711,5592328
35,7,1,B,17019251,1898038
35,7,1,C,62389548,7049128
35,7,3,A,58576483,6618640
35,7,3,B,19055784,2123490
35,7,3,C,75449277,8522188
35,7,5,A,75263745,8507803
35,7,5,B,26844601,3000579
35,7,5,C,97862879,11064262
35,7,7,A,98354258,11128006
35,7,7,B,33653910,3759296
35,7,7,C,119093546,13502563
35,7,9,A,132432178,15024893
35,7,9,B,41652230,4664008
35,7,9,C,131673879,14952698
35,9,1,A,66715092,7547614
35,9,1,B,22180700,2477991
35,9,1,C,78957739,8925666
35,9,3,A,75579918,8547153
35,9,3,B,23941434,2672156
35,9,3,C,91838849,10378914
35,9,5,A,91705425,10373430
35,9,5,B,29533686,3302499
35,9,5,C,112540347,12726219
35,9,7,A,113968305,12899266
35,9,7,B,35191028,3933405
35,9,7,C,159264776,18074542
35,9,9,A,147464055,16720152
35,9,9,B,44905002,5026638
35,9,9,C,171811058,19522408
40,1,1,A,4524313,492739
40,1,1,B,7163442,789876
40,1,1,C,21640604,2423352
40,1,3,A,15599912,1741184
40,1,3,B,7566235,832383
40,1,3,C,25244162,2833122
40,1,5,A,29041133,3258966
40,1,5,B,11728043,1301217
40,1,5,C,36418201,4105645
40,1,7,A,59164169,6688136
40,1,7,B,17290572,1926272
40,1,7,C,48381676,5451844
40,1,9,A,100183763,11371609
40,1,9,B,31968145,3596127
40,1,9,C,81956966,9280719
40,3,1,A,17751150,1989979
40,3,1,B,7460314,822690
40,3,1,C,19547764,2183140
40,3,3,A,28908753,3246896
40,3,3,B,11045583,1222174
40,3,3,C,32418977,3636725
40,3,5,A,41689437,4691613
40,3,5,B,14528870,1615287
40,3,5,C,41787560,4693060
40,3,7,A,71600998,8097381
40,3,7,B,19130541,2132318
40,3,7,C,55181049,6204995
40,3,9,A,112690585,12788359
40,3,9,B,32123951,3609589
40,3,9,C,97117002,11000162
40,5,1,A,40079557,4523906
40,5,1,B,13303115,1483496
40,5,1,C,30540023,3421635
40,5,3,A,50487888,5696258
40,5,3,B,15752340,1755913
40,5,3,C,40475303,4543710
40,5,5,A,63481819,7164111
40,5,5,B,21255123,2371731
40,5,5,C,60075255,6768379
40,5,7,A,92757605,10498687
40,5,7,B,25648161,2864279
40,5,7,C,74630913,8407610
40,5,9,A,134081925,15215831
40,5,9,B,39882181,4480847
40,5,9,C,109454954,12381103
40,7,1,A,74986347,8504066
40,7,1,B,16420350,1833011
40,7,1,C,55933397,6306727
40,7,3,A,84554845,9581493
40,7,3,B,18743092,2092644
40,7,3,C,65605012,7398556
40,7,5,A,99646076,11285090
40,7,5,B,23376585,2612345
40,7,5,C,79985002,9024079
40,7,7,A,126317580,14320620
40,7,7,B,28795592,3219271
40,7,7,C,102865558,11617956
40,7,9,A,168306838,19113741
40,7,9,B,42946057,4824492
40,7,9,C,138039411,15635306
40,9,1,A,100985698,11447932
40,9,1,B,28188173,3164746
40,9,1,C,86110176,9753410
40,9,3,A,110554196,12525359
40,9,3,B,30309519,3400245
40,9,3,C,95806214,10848164
40,9,5,A,125645427,14228956
40,9,5,B,34867912,3910703
40,9,5,C,112077177,12682430
40,9,7,A,152485959,17284688
40,9,7,B,40722206,4566425
40,9,7,C,137845197,15610459
40,9,9,A,194723903,22105961
40,9,9,B,55778655,6274260
40,9,9,C,175407442,19901662
45,1,1,A,7736441,854970
45,1,1,B,8522992,943924
45,1,1,C,47536036,5386774
45,1,3,A,28711028,3240051
45,1,3,B,17244503,1933746
45,1,3,C,73377617,8388839
45,1,5,A,50826469,5743139
45,1,5,B,25182799,2835549
45,1,5,C,76915038,8729345
45,1,7,A,80815373,9161589
45,1,7,B,42750975,4830720
45,1,7,C,97349813,11060992
45,1,9,A,123753176,14043445
45,1,9,B,54832144,6202153
45,1,9,C,104479668,11876548
45,3,1,A,22522670,2529362
45,3,1,B,16695112,1871458
45,3,1,C,58186013,6603994
45,3,3,A,43491873,4913256
45,3,3,B,27362388,3076900
45,3,3,C,115091342,13145855
45,3,5,A,65607314,7416344
45,3,5,B,33161270,3740329
45,3,5,C,113417141,12892955
45,3,7,A,94344554,10695204
45,3,7,B,50811837,5744415
45,3,7,C,127179821,14467797
45,3,9,A,137282357,15577060
45,3,9,B,62166221,7033382
45,3,9,C,114484073,13004533
45,5,1,A,46062570,5199122
45,5,1,B,27171842,3066150
45,5,1,C,45744834,5168823
45,5,3,A,66584346,7531756
45,5,3,B,35989022,4063999
45,5,3,C,157934828,18012280
45,5,5,A,88050941,9961434
45,5,5,B,45207933,5106035
45,5,5,C,83928757,9496227
45,5,7,A,116178960,13171428
45,5,7,B,62342422,7051482
45,5,7,C,130561382,14822666
45,5,9,A,159116763,18053284
45,5,9,B,72729407,8230732
45,5,9,C,141341500,16057012
45,7,1,A,81760170,9259605
45,7,1,B,37446681,4234036
45,7,1,C,97549926,11065424
45,7,3,A,100955968,11441323
45,7,3,B,44404624,5023152
45,7,3,C,128425660,14596891
45,7,5,A,121358853,13751126
45,7,5,B,54037009,6113168
45,7,5,C,159758342,18141107
45,7,7,A,151910998,17233931
45,7,7,B,70834485,8020349
45,7,7,C,192713433,21901572
45,7,9,A,194848801,22115787
45,7,9,B,81753824,9258502
45,7,9,C,170356303,19355740
45,9,1,A,134317127,15259352
45,9,1,B,54427119,6162179
45,9,1,C,93306788,10563143
45,9,3,A,152712126,17349590
45,9,3,B,60703527,6875716
45,9,3,C,107671740,12188393
45,9,5,A,172472816,19586713
45,9,5,B,70402150,7973514
45,9,5,C,123116152,13936551
45,9,7,A,204354863,23218104
45,9,7,B,86978801,9854558
45,9,7,C,172289112,19559478
45,9,9,A,247296791,28100268
45,9,9,B,98072745,11112777
45,9,9,C,245244035,27924586
50,1,1,A,8188868,900857
50,1,1,B,10258780,1131267
50,1,1,C,51706599,5842559
50,1,3,A,26896698,3019176
50,1,3,B,12060857,1340401
50,1,3,C,76221678,8655714
50,1,5,A,48540301,5468549
50,1,5,B,18443152,2061706
50,1,5,C,120243889,13700022
50,1,7,A,79832862,9018391
50,1,7,B,27127868,3046463
50,1,7,C,67961232,7669905
50,1,9,A,133735942,15157303
50,1,9,B,37911384,4269990
50,1,9,C,108867048,12343701
50,3,1,A,24647253,2769478
50,3,1,B,15595694,1742754
50,3,1,C,73772702,8421470
50,3,3,A,42523806,4792712
50,3,3,B,21045635,2357545
50,3,3,C,96832323,11029826
50,3,5,A,64718108,7304965
50,3,5,B,26356310,2960205
50,3,5,C,172693697,19717645
50,3,7,A,95550402,10803524
50,3,7,B,35342327,3979714
50,3,7,C,80891183,9132618
50,3,9,A,149453482,16942436
50,3,9,B,46454737,5239597
50,3,9,C,124663121,14138049
50,5,1,A,51472458,5815362
50,5,1,B,23778507,2669456
50,5,1,C,191673740,21915144
50,5,3,A,67643111,7645285
50,5,3,B,29844503,3352788
50,5,3,C,243994798,27883586
50,5,5,A,91861496,10386151
50,5,5,B,36110281,4062689
50,5,5,C,243047593,27767201
50,5,7,A,122254662,13834556
50,5,7,B,44269337,4986711
50,5,7,C,101284210,11436285
50,5,9,A,176157742,19973468
50,5,9,B,55472727,6260731
50,5,9,C,140021479,15865540
50,7,1,A,91358109,10358713
50,7,1,B,37699938,4253129
50,7,1,C,71635648,8099623
50,7,3,A,106651727,12089366
50,7,3,B,43148232,4869474
50,7,3,C,85810977,9705153
50,7,5,A,130223187,14757817
50,7,5,B,50700294,5720916
50,7,5,C,104767666,11846605
50,7,7,A,162971218,18471257
50,7,7,B,59739173,6746863
50,7,7,C,126246989,14278762
50,7,9,A,217087444,24634058
50,7,9,B,69306144,7831827
50,7,9,C,159137995,18029034
50,9,1,A,142336276,16173909
50,9,1,B,55479186,6268882
50,9,1,C,100772328,11401629
50,9,3,A,157166982,17852351
50,9,3,B,62764315,7094521
50,9,3,C,114852241,12996017
50,9,5,A,179935278,20430293
50,9,5,B,67021017,7562892
50,9,5,C,133318271,15081548
50,9,7,A,211747025,24037544
50,9,7,B,77170035,8716944
50,9,7,C,156333355,17691146
50,9,9,A,264770127,30076126
50,9,9,B,85268262,9635633
50,9,9,C,189534748,21477161
